,Unnamed: 0,research_ID,date from,hour from,date to,hour to
0,0,25430883,31-07-2012,02:00:50,15-08-2012,12:10:09
1,1,25480871,01-08-2012,02:00:57,27-08-2012,15:05:23
2,2,25490872,01-08-2012,02:00:57,27-08-2012,17:15:10
3,3,25510875,01-08-2012,02:00:51,29-08-2012,14:25:07
4,4,25560926,02-08-2012,02:00:45,27-08-2012,15:20:12
5,5,25590272,02-08-2012,02:00:50,26-08-2012,11:15:09
0,0,25490872,29-05-2013,12:25:09,17-06-2013,20:00:11
