,research_ID,date from,hour from,date to,hour to
0,25430883,06-09-2012,06:25:09,14-02-2013,12:50:10
1,25480871,10-09-2012,11:05:14,04-06-2013,10:30:29
2,25490872,22-09-2012,08:10:08,15-05-2013,16:15:23
3,25510875,21-09-2012,09:55:29,05-05-2013,05:45:09
