,research_ID,date from,hour from,date to,hour to
0,25430883,15-08-2012,12:15:09,06-09-2012,06:20:20
1,25480871,27-08-2012,15:10:11,10-09-2012,11:00:10
2,25490872,27-08-2012,17:20:11,22-09-2012,08:05:11
3,25510875,29-08-2012,14:30:08,21-09-2012,09:50:23
4,25560926,27-08-2012,15:25:19,10-09-2012,20:00:12
5,25590272,26-08-2012,11:20:17,06-09-2012,15:10:14
