,research_ID,date from,hour from,date to,hour to
0,23030597,29-08-2012,15:50:09,18-09-2012,12:55:12
1,23070600,20-08-2012,17:35:13,05-09-2012,03:25:11
2,23130842,14-08-2012,11:36:10,11-09-2012,13:20:11
3,23170836,19-08-2012,14:00:40,07-09-2012,09:37:22
4,23200607,20-08-2012,14:35:10,06-09-2012,04:05:10
5,23230847,19-08-2012,16:00:07,09-09-2012,08:10:23
