,nesting,migration_to_africa,wintering,migration_to_europe
Levene,0.81222184991421,0.8039695727088153,0.18059355697554372,0.4829869162849839
ttest,0.0006844145206637973,0.2927627315239368,0.20671286833962987,0.04066683986267054
